trip_id,start_time,end_time,headway_secs,exact_times
L1_0,06:00:00,23:00:00,600,0
L1_1,06:00:00,23:00:00,600,0
L2A_0,06:00:00,23:00:00,600,0
L2A_1,06:00:00,23:00:00,600,0
L3_0,06:00:00,23:00:00,600,0
L3_1,06:00:00,23:00:00,600,0
L7_0,06:00:00,23:00:00,600,0
L7_1,06:00:00,23:00:00,600,0
BEST_97878_1,06:30:00,20:25:00,360,0
BEST_97880_1,08:05:00,21:20:00,1440,0
BEST_97881_1,06:45:00,22:05:00,1020,0
BEST_97882_1,05:40:00,22:05:00,900,0
BEST_97883_1,00:15:00,23:25:00,300,0
BEST_97884_1,08:00:00,09:05:00,1800,0
BEST_97885_1,06:30:00,21:25:00,1500,0
BEST_97886_1,06:00:00,22:00:00,1500,0
BEST_97887_1,06:00:00,22:00:00,960,0
BEST_97888_1,07:30:00,22:15:00,900,0
BEST_97889_1,05:50:00,21:15:00,660,0
BEST_97890_1,06:35:00,17:33:00,900,0
BEST_97891_1,07:45:00,21:30:00,1080,0
BEST_97892_1,00:00:00,20:11:00,900,0
BEST_97893_1,06:15:00,20:00:00,840,0
BEST_97894_1,07:10:00,21:00:00,660,0
BEST_97895_1,07:20:00,22:30:00,1140,0
BEST_97896_1,06:05:00,22:10:00,1080,0
BEST_97897_1,06:00:00,21:40:00,840,0
BEST_97898_1,06:10:00,23:55:00,1080,0
BEST_97899_1,07:05:00,22:30:00,1200,0
BEST_97900_1,06:00:00,21:00:00,960,0
BEST_97901_1,05:30:00,22:10:00,600,0
BEST_97902_1,07:30:00,21:30:00,1620,0
BEST_97903_1,06:40:00,21:05:00,1200,0
BEST_97904_1,05:45:00,23:00:00,900,0
BEST_97905_1,07:00:00,23:05:00,1080,0
BEST_97906_1,21:36:00,22:12:00,2160,0
BEST_97907_1,07:00:00,20:36:00,2340,0
BEST_97908_1,05:30:00,21:10:00,1200,0
BEST_97909_1,05:20:00,22:15:00,1080,0
BEST_97910_1,05:15:00,20:25:00,900,0
BEST_97911_1,06:15:00,22:30:00,960,0
BEST_97912_1,06:25:00,20:55:00,900,0
BEST_97913_1,04:20:00,22:00:00,900,0
BEST_97914_1,06:10:00,21:10:00,900,0
BEST_97915_1,00:15:00,23:31:00,180,0
BEST_97916_1,06:45:00,22:50:00,720,0
BEST_97917_1,06:30:00,20:20:00,1500,0
BEST_97918_1,06:45:00,23:05:00,120,0
BEST_97919_1,06:45:00,22:23:00,300,0
BEST_97920_1,07:05:00,18:35:00,600,0
BEST_97921_1,00:00:00,23:48:00,540,0
BEST_97922_1,00:25:00,01:15:00,3000,0
BEST_97923_1,06:20:00,22:35:00,1200,0
BEST_97924_1,00:35:00,22:00:00,540,0
BEST_97925_1,08:00:00,19:30:00,900,0
BEST_97926_1,08:00:00,19:30:00,1080,0
BEST_97927_1,06:55:00,23:18:00,1080,0
BEST_97928_1,08:05:00,22:00:00,1500,0
BEST_97929_1,07:35:00,21:35:00,600,0
BEST_97930_1,06:00:00,19:25:00,840,0
BEST_97931_1,19:52:00,21:40:00,1620,0
BEST_97932_1,08:50:00,18:45:00,300,0
BEST_97933_1,08:10:00,16:24:00,180,0
BEST_97934_1,08:50:00,11:56:00,600,0
BEST_97935_1,08:50:00,21:05:00,240,0
BEST_97936_1,07:45:00,21:00:00,1440,0
BEST_97937_1,07:10:00,21:34:00,1800,0
BEST_97938_1,07:15:00,22:10:00,1200,0
BEST_97939_1,06:00:00,20:00:00,1800,0
BEST_97940_1,08:45:00,19:30:00,1140,0
BEST_97941_1,07:30:00,22:20:00,1200,0
BEST_97942_1,05:30:00,20:15:00,300,0
BEST_97943_1,07:05:00,18:05:00,960,0
BEST_97944_1,07:00:00,20:25:00,2280,0
BEST_97945_1,08:45:00,19:45:00,900,0
BEST_97946_1,05:35:00,22:05:00,900,0
BEST_97947_1,06:55:00,22:43:00,1020,0
BEST_97948_1,00:03:00,22:52:00,480,0
BEST_97949_1,08:25:00,11:31:00,300,0
BEST_97950_1,07:30:00,18:27:00,120,0
BEST_97951_1,06:00:00,22:30:00,780,0
